Country/Region,Alias,Population,Chinese
Afghanistan,Afghanistan,37.17m,阿富汗
Albania,Albania,2.846m,阿尔巴尼亚
Algeria,Algeria,42.23m,阿尔及利亚
Andorra,Andorra,77006,安道尔
Angola,Angola,30.81m,安哥拉
Antigua and Barbuda,Antigua and Barbuda,96286,安提瓜和巴布达
Argentina,Argentina,44.49m,阿根廷
Armenia,Armenia,2.965m,亚美尼亚
Australia,Australia,24.99m,澳大利亚
Austria,Austria,8.859m,奥地利
Azerbaijan,Azerbaijan,9.981m,阿塞拜疆
Bahamas,Bahamas,385640,巴哈马
Bahrain,Bahrain,1.569m,巴林
Bangladesh,Bangladesh,161.4m,孟加拉
Barbados,Barbados,286641,巴巴多斯
Belarus,Belarus,9.485m,白罗斯
Belgium,Belgium,11.46m,比利时
Benin,Benin,11.49m,贝宁
Bhutan,Bhutan,754394,不丹
Bolivia,Bolivia,11.35m,玻利维亚
Bosnia and Herzegovina,Bosnia and Herzegovina,3.324m,波黑
Brazil,Brazil,209.5m,巴西
Brunei,Brunei,428962,文莱
Bulgaria,Bulgaria,7m,保加利亚
Burkina Faso,Burkina Faso,19.75m,布基纳法索
Cabo Verde,Cabo Verde,543767,佛得角
Cambodia,Cambodia,16.25m,柬埔寨
Cameroon,Cameroon,25.22m,喀麦隆
Canada,Canada,37.59m,加拿大
Central African Republic,Central African Republic,4.666m,中非
Chad,Chad,15.48m,乍得
Chile,Chile,18.73m,智利
China,China,1.393b,中国
Colombia,Colombia,49.65m,哥伦比亚
Congo (Brazzaville),Congo (Brazzaville),5.244m,刚果(布)
Congo (Kinshasa),Congo (Kinshasa),84.07m,刚果(金)
Costa Rica,Costa Rica,4.999m,哥斯达黎加
Cote d'Ivoire,Cote d'Ivoire,25.07m,科特迪瓦
Croatia,Croatia,4.076m,克罗地亚
Diamond Princess,Diamond Princess Cruise,0,钻石公主号邮轮
Cuba,Cuba,11.34m,古巴
Cyprus,Cyprus,1.17m,塞浦路斯
Czechia,Czechia,10.69m,捷克
Denmark,Denmark,5.806m,丹麦
Djibouti,Djibouti,958920,吉布提
Dominican Republic,Dominican Republic,10.63m,多米尼加
Ecuador,Ecuador,17.08m,厄瓜多尔
Egypt,Egypt,98.42m,埃及
El Salvador,El Salvador,6.421m,萨尔瓦多
Equatorial Guinea,Equatorial Guinea,1.309m,赤道几内亚
Eritrea,Eritrea,3.214m,厄立特里亚
Estonia,Estonia,1.329m,爱沙尼亚
Eswatini,Eswatini,1.136m,斯威士兰
Ethiopia,Ethiopia,109.2m,埃塞俄比亚
Fiji,Fiji,883483,斐济
Finland,Finland,5.518m,芬兰
France,France,66.99m,法国
Gabon,Gabon,2.119m,加蓬
Gambia,Gambia,2.28m,冈比亚
Georgia,Georgia,10.62m,格鲁吉亚
Germany,Germany,83.02m,德国
Ghana,Ghana,29.77m,加纳
Greece,Greece,10.72m,希腊
Guatemala,Guatemala,17.25m,危地马拉
Guinea,Guinea,12.41m,几内亚
Guyana,Guyana,779004,圭亚那
Haiti,Haiti,11.12m,海地
Holy See,Holy See,825,梵蒂冈
Honduras,Honduras,9.588m,洪都拉斯
Hungary,Hungary,9.773m,匈牙利
Iceland,Iceland,364134,冰岛
India,India,1.353b,印度
Indonesia,Indonesia,267.7m,印度尼西亚
Iran,Iran,81.8m,伊朗
Iraq,Iraq,38.43m,伊拉克
Ireland,Ireland,4.904m,爱尔兰
Israel,Israel,8.884m,以色列
Italy,Italy,60.36m,意大利
Jamaica,Jamaica,2.935m,牙买加
Japan,Japan,126.5m,日本
Jordan,Jordan,9.956m,约旦
Kazakhstan,Kazakhstan,18.28m,哈萨克斯坦
Kenya,Kenya,51.39m,肯尼亚
"Korea, South",South Korea,51.64m,韩国
Kuwait,Kuwait,4.137m,科威特
Kyrgyzstan,Kyrgyzstan,6.316m,吉尔吉斯斯坦
Latvia,Latvia,1.92m,拉脱维亚
Lebanon,Lebanon,6.849m,黎巴嫩
Liberia,Liberia,4.819m,利比里亚
Liechtenstein,Liechtenstein,38749,列支敦士登
Lithuania,Lithuania,2.794m,立陶宛
Luxembourg,Luxembourg,613894,卢森堡
Madagascar,Madagascar,26.26m,马达加斯加
Malaysia,Malaysia,31.53m,马来西亚
Maldives,Maldives,515696,马尔代夫
Malta,Malta,514564,马耳他
Mauritania,Mauritania,4.403m,毛里塔尼亚
Mauritius,Mauritius,1.265m,毛里求斯
Mexico,Mexico,126.2m,墨西哥
Moldova,Moldova,3.546m,摩尔多瓦
Monaco,Monaco,38682,摩纳哥
Mongolia,Mongolia,3.17m,蒙古
Montenegro,Montenegro,622359,黑山
Morocco,Morocco,36.03m,摩洛哥
Namibia,Namibia,2.448m,纳米比亚
Nepal,Nepal,28.09m,尼泊尔
Netherlands,Netherlands,17.28m,荷兰
New Zealand,New Zealand,4.886m,新西兰
Nicaragua,Nicaragua,6.466m,尼加拉瓜
Niger,Niger,22.44m,尼日尔
Nigeria,Nigeria,195.9m,尼日利亚
North Macedonia,North Macedonia,2.077m,北马其顿
Norway,Norway,5.433m,挪威
Oman,Oman,4.829m,阿曼
Pakistan,Pakistan,212.2m,巴基斯坦
Panama,Panama,4.177m,巴拿马
Papua New Guinea,Papua New Guinea,8.606m,巴布亚新几内亚
Paraguay,Paraguay,6.956m,巴拉圭
Peru,Peru,31.99m,秘鲁
Philippines,Philippines,106.7m,菲律宾
Poland,Poland,37.97m,波兰
Portugal,Portugal,10.28m,葡萄牙
Qatar,Qatar,2.782m,卡塔尔
Romania,Romania,19.41m,罗马尼亚
Russia,Russia,144.5m,俄罗斯
Rwanda,Rwanda,12.3m,卢旺达
Saint Lucia,Saint Lucia,181889,圣卢西亚
Saint Vincent and the Grenadines,Saint Vincent,110210,圣文森特
San Marino,San Marino,33785,圣马力诺
Saudi Arabia,Saudi Arabia,33.7m,沙特阿拉伯
Senegal,Senegal,15.85m,塞内加尔
Serbia,Serbia,6.982m,塞尔维亚
Seychelles,Seychelles,96762,塞舌尔
Singapore,Singapore,5.639m,新加坡
Slovakia,Slovakia,5.458m,斯洛伐克
Slovenia,Slovenia,2.081m,斯洛文尼亚
Somalia,Somalia,15.01m,索马里
South Africa,South Africa,57.78m,南非
Spain,Spain,46.94m,西班牙
Sri Lanka,Sri Lanka,21.67m,斯里兰卡
Sudan,Sudan,41.8m,苏丹
Suriname,Suriname,575991,苏里南
Sweden,Sweden,10.23m,瑞典
Switzerland,Switzerland,8.57m,瑞士
Taiwan*,Taiwan (Republic of China),23.78m,中国台湾
Tanzania,Tanzania,56.32m,坦桑尼亚
Thailand,Thailand,69.43m,泰国
Togo,Togo,7.889m,多哥
Trinidad and Tobago,Trinidad and Tobago,1.39m,特立尼达和多巴哥
Tunisia,Tunisia,11.57m,突尼斯
Turkey,Turkey,82m,土耳其
Uganda,Uganda,42.72m,乌干达
Ukraine,Ukraine,41.98m,乌克兰
United Arab Emirates,United Arab Emirates,9.631m,阿联酋长联合王国
United Kingdom,United Kingdom,66.65m,英国
Uruguay,Uruguay,3.449m,乌拉圭
US,United States,328.2m,美国
Uzbekistan,Uzbekistan,32.96m,乌兹别克斯坦
Venezuela,Venezuela,28.87m,委内瑞拉
Vietnam,Vietnam,95.54m,越南
Zambia,Zambia,17.35m,赞比亚
Zimbabwe,Zimbabwe,14.44m,津巴布韦
Canada,Canada,37.59m,加拿大
Dominica,Dominica,71625,多米尼加
Grenada,Grenada,111454,格林纳达
Mozambique,Mozambique,29.5m,莫桑比克
Syria,Syria,16.91m,叙利亚
Timor-Leste,Timor-Leste,1.268m,东帝汶
Belize,Belize,383071,伯利兹
Laos,Laos,7.062m,老挝
Libya,Libya,6.679m,利比亚
West Bank and Gaza,West Bank and Gaza,4.569m,约旦河西岸
Guinea-Bissau,Guinea-Bissau,1.874m,几内亚比绍
Mali,Mali,19.08m,马里
Saint Kitts and Nevis,Saint Kitts and Nevis,52441,圣基茨和尼维斯
Kosovo,Kosovo,1.845m,科索沃
Burma,Burma,53.71m,缅甸
MS Zaandam,MS Zaandam Cruise,0,赞丹邮轮
Botswana,Botswana,2.254m,博茨瓦纳
Burundi,Burundi,11.18m,布隆迪
Sierra Leone,Sierra Leone,7.65m,塞拉利昂
Netherlands,Netherlands,17.28m,荷兰
Malawi,Malawi,18.14m,马拉维
South Sudan,South Sudan,10.98m,南苏丹
Western Sahara,Western Sahara,652271,西撒哈拉
Sao Tome and Principe,Sao Tome and Principe,211028,圣多美和普林西比
Yemen,Yemen,28.5m,也门
Comoros,Comoros,832322,科摩罗
Tajikistan,Tajikistan,9.101m,塔吉克斯坦
Lesotho,Lesotho,2.108m,莱索托
World,World,7.8b,全球
Solomon Islands,Solomon Islands,652858,所罗门群岛
Marshall Islands,Marshall Islands,58413,马绍尔群岛
Vanuatu,Vanuatu,292680,瓦努阿图
Samoa,Samoa,196130,萨摩亚
Micronesia,Micronesia,113815,密克罗尼西亚
Kiribati,Kiribati,117606,基里巴斯
Palau,Palau,18008,帕劳群岛
Summer Olympics 2020,Summer Olympics 2020,100000,东京奥运
Tonga,Tonga,105697,汤加
